CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Diluicao_Potencial;Preco_Medio_Ponderado_Opcoes_Em_Aberto;Preco_Medio_Ponderado_Opcoes_Perdidas;Preco_Medio_Ponderado_Opcoes_Exercidas
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;5.67;0.000000;48.44;0.00;0.00
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.00;1.00;0.000000;41.91;0.00;0.00
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.92;1.00;0.000000;41.91;0.00;0.00
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.92;5.00;0.000000;49.54;0.00;19.44
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2025-01-01;2025-12-31;Conselho de Administração;7.33;1.00;0.000000;41.91;0.00;0.00
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;7.00;5.00;0.000000;52.73;0.00;0.00
16.670.085/0001-55;2025-12-31;9;154687;LOCALIZA RENT A CAR S.A.;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
16.676.520/0001-59;2025-12-31;13;154602;HOSPITAL MATER DEI S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;9.00;0.990000;0.00;0.00;0.00
16.676.520/0001-59;2025-12-31;13;154602;HOSPITAL MATER DEI S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;8.00;0.990000;0.00;0.00;0.00
16.676.520/0001-59;2025-12-31;13;154602;HOSPITAL MATER DEI S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;6.58;6.00;44.000000;0.00;0.00;0.00
16.676.520/0001-59;2025-12-31;13;154602;HOSPITAL MATER DEI S.A.;2024-01-01;2024-12-31;Conselho de Administração;10.00;3.00;69.000000;0.00;0.00;0.00
16.676.520/0001-59;2025-12-31;13;154602;HOSPITAL MATER DEI S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;7.00;6.00;44.000000;0.00;0.00;0.00
16.676.520/0001-59;2025-12-31;13;154602;HOSPITAL MATER DEI S.A.;2025-01-01;2025-12-31;Conselho de Administração;9.25;3.00;69.000000;0.00;0.00;0.00
16.922.038/0001-51;2025-12-31;3;154720;ENJOEI S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
16.922.038/0001-51;2025-12-31;3;154720;ENJOEI S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;2.240000;0.53;0.00;0.53
16.922.038/0001-51;2025-12-31;3;154720;ENJOEI S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
16.922.038/0001-51;2025-12-31;3;154720;ENJOEI S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;1.120000;0.53;0.00;0.53
16.922.038/0001-51;2025-12-31;3;154720;ENJOEI S.A.;2024-01-01;2024-12-31;Conselho de Administração;6.33;0.00;0.000000;0.00;0.00;0.00
16.922.038/0001-51;2025-12-31;3;154720;ENJOEI S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.25;4.91;1.120000;0.53;0.00;0.00
16.922.038/0001-51;2025-12-31;3;154720;ENJOEI S.A.;2025-01-01;2025-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
16.922.038/0001-51;2025-12-31;3;154720;ENJOEI S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;2.00;0.240000;1.22;0.00;0.00
17.281.106/0001-03;2025-12-31;12;154633;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;2023-01-01;2023-12-31;Conselho de Administração;6.08;0.00;0.000000;0.00;0.00;0.00
17.281.106/0001-03;2025-12-31;12;154633;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;2023-01-01;2023-12-31;Diretoria Estatutária;4.75;0.00;0.000000;0.00;0.00;0.00
17.281.106/0001-03;2025-12-31;12;154633;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;2022-01-01;2022-12-31;Conselho de Administração;6.58;0.00;0.000000;0.00;0.00;0.00
17.281.106/0001-03;2025-12-31;12;154633;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;2022-01-01;2022-12-31;Diretoria Estatutária;4.50;0.00;0.000000;0.00;0.00;0.00
17.281.106/0001-03;2025-12-31;12;154633;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;2024-01-01;2024-12-31;Conselho de Administração;6.25;0.00;0.000000;0.00;0.00;0.00
17.281.106/0001-03;2025-12-31;12;154633;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;0.00;0.000000;0.00;0.00;0.00
17.281.106/0001-03;2025-12-31;12;154633;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;2025-01-01;2025-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
17.281.106/0001-03;2025-12-31;12;154633;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;0.00;0.000000;0.00;0.00;0.00
17.314.329/0001-20;2025-12-31;11;154587;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.67;5.67;0.800000;0.01;0.00;0.00
17.314.329/0001-20;2025-12-31;11;154587;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;7.00;2.810000;0.01;0.00;0.00
17.314.329/0001-20;2025-12-31;11;154587;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;5.00;0.900000;3.81;0.00;0.00
17.314.329/0001-20;2025-12-31;11;154587;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;9.00;3.810000;3.57;5.63;0.00
17.314.329/0001-20;2025-12-31;11;154587;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;6.00;1.100000;0.01;0.00;0.00
17.314.329/0001-20;2025-12-31;11;154587;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.00;7.00;3.850000;0.01;0.00;0.00
17.314.329/0001-20;2025-12-31;11;154587;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;2025-01-01;2025-12-31;Conselho de Administração;7.00;6.00;86.000000;0.01;0.00;0.00
17.314.329/0001-20;2025-12-31;11;154587;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;7.00;7.00;288.000000;0.01;0.00;0.00
18.174.270/0001-84;2025-12-31;1;148892;DOTZ S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;5.00;0.000000;0.00;0.00;0.00
18.174.270/0001-84;2025-12-31;1;148892;DOTZ S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.67;2.67;0.000000;0.00;0.00;0.00
18.174.270/0001-84;2025-12-31;1;148892;DOTZ S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.33;0.00;0.000000;0.00;0.00;0.00
18.174.270/0001-84;2025-12-31;1;148892;DOTZ S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
18.174.270/0001-84;2025-12-31;1;148892;DOTZ S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;5.00;0.000000;0.00;0.00;0.00
18.174.270/0001-84;2025-12-31;1;148892;DOTZ S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
18.174.270/0001-84;2025-12-31;1;148892;DOTZ S.A.;2025-01-01;2025-12-31;Conselho de Administração;7.00;6.00;0.000000;0.00;0.00;0.00
18.174.270/0001-84;2025-12-31;1;148892;DOTZ S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;4.00;0.000000;0.00;0.00;0.00
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;1.00;0.040000;1.04;0.00;1.04
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.67;4.00;0.170000;1.04;0.00;1.04
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;2.00;0.00;0.000000;0.00;0.00;0.00
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;1.00;0.040000;1.11;0.00;0.00
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;4.00;0.150000;1.11;0.00;1.11
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;1.780000;6.58;0.00;0.00
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2025-01-01;2025-12-31;Conselho de Administração;6.00;1.00;0.000000;0.00;0.00;0.00
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;4.00;1.780000;6.58;0.00;0.00
18.328.118/0001-09;2025-12-31;8;154336;PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;2025-01-01;2025-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
18.483.666/0001-03;2025-12-31;1;149225;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
18.483.666/0001-03;2025-12-31;1;149225;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;1.00;0.00;0.000000;0.00;0.00;0.00
18.483.666/0001-03;2025-12-31;1;149225;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
18.483.666/0001-03;2025-12-31;1;149225;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;1.00;0.00;0.000000;0.00;0.00;0.00
18.483.666/0001-03;2025-12-31;1;149225;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.;2025-01-01;2025-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
18.483.666/0001-03;2025-12-31;1;149225;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;1.00;0.00;0.000000;0.00;0.00;0.00
18.593.815/0001-97;2025-12-31;6;154420;PRINER SERVIÇOS INDUSTRIAIS S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
18.593.815/0001-97;2025-12-31;6;154420;PRINER SERVIÇOS INDUSTRIAIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
18.593.815/0001-97;2025-12-31;6;154420;PRINER SERVIÇOS INDUSTRIAIS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
18.593.815/0001-97;2025-12-31;6;154420;PRINER SERVIÇOS INDUSTRIAIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
18.593.815/0001-97;2025-12-31;6;154420;PRINER SERVIÇOS INDUSTRIAIS S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
18.593.815/0001-97;2025-12-31;6;154420;PRINER SERVIÇOS INDUSTRIAIS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;0.000000;0.00;0.00;0.00
18.593.815/0001-97;2025-12-31;6;154420;PRINER SERVIÇOS INDUSTRIAIS S.A.;2025-01-01;2025-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
18.593.815/0001-97;2025-12-31;6;154420;PRINER SERVIÇOS INDUSTRIAIS S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;3.00;0.060000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2022-01-01;2022-12-31;Conselho de Administração;4.00;4.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2023-01-01;2023-12-31;Conselho de Administração;4.00;4.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2023-01-01;2023-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2024-01-01;2024-12-31;Conselho de Administração;4.00;4.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2024-01-01;2024-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2025-01-01;2025-12-31;Conselho de Administração;4.00;4.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2025-01-01;2025-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
19.526.748/0001-50;2025-12-31;4;151231;COMPANHIA INDUSTRIAL CATAGUASES;2025-01-01;2025-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
19.527.586/0001-75;2025-12-31;2;152055;COMPANHIA ENERGÉTICA SINOP S/A;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
19.527.586/0001-75;2025-12-31;2;152055;COMPANHIA ENERGÉTICA SINOP S/A;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0.000000;0.00;0.00;0.00
19.527.586/0001-75;2025-12-31;2;152055;COMPANHIA ENERGÉTICA SINOP S/A;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
19.527.586/0001-75;2025-12-31;2;152055;COMPANHIA ENERGÉTICA SINOP S/A;2024-01-01;2024-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
19.527.586/0001-75;2025-12-31;2;152055;COMPANHIA ENERGÉTICA SINOP S/A;2024-01-01;2024-12-31;Conselho Fiscal;6.00;0.00;0.000000;0.00;0.00;0.00
19.527.586/0001-75;2025-12-31;2;152055;COMPANHIA ENERGÉTICA SINOP S/A;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
19.527.586/0001-75;2025-12-31;2;152055;COMPANHIA ENERGÉTICA SINOP S/A;2025-01-01;2025-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
19.527.586/0001-75;2025-12-31;2;152055;COMPANHIA ENERGÉTICA SINOP S/A;2025-01-01;2025-12-31;Conselho Fiscal;6.00;0.00;0.000000;0.00;0.00;0.00
19.527.586/0001-75;2025-12-31;2;152055;COMPANHIA ENERGÉTICA SINOP S/A;2025-01-01;2025-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
20.247.322/0001-47;2025-12-31;10;154783;ALLIED TECNOLOGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.50;3.00;0.500000;17.32;16.74;0.00
20.247.322/0001-47;2025-12-31;10;154783;ALLIED TECNOLOGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;1.360000;16.40;12.97;0.00
20.247.322/0001-47;2025-12-31;10;154783;ALLIED TECNOLOGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.08;2.83;0.390000;18.54;13.74;0.00
20.247.322/0001-47;2025-12-31;10;154783;ALLIED TECNOLOGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;1.210000;17.83;22.92;0.00
20.247.322/0001-47;2025-12-31;10;154783;ALLIED TECNOLOGIA S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;3.00;0.440000;5.09;15.33;5.09
20.247.322/0001-47;2025-12-31;10;154783;ALLIED TECNOLOGIA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.92;3.92;2.120000;6.84;9.29;0.00
20.247.322/0001-47;2025-12-31;10;154783;ALLIED TECNOLOGIA S.A.;2025-01-01;2025-12-31;Conselho de Administração;5.00;3.00;0.400000;5.09;0.00;5.09
20.247.322/0001-47;2025-12-31;10;154783;ALLIED TECNOLOGIA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;8.92;8.92;2.100000;7.38;7.42;5.69
20.258.278/0001-70;2025-12-31;2;152190;OUROFINO S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
20.258.278/0001-70;2025-12-31;2;152190;OUROFINO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;1.00;8.663000;60.78;62.24;0.00
20.258.278/0001-70;2025-12-31;2;152190;OUROFINO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.85;0.00;0.000000;0.00;0.00;0.00
20.258.278/0001-70;2025-12-31;2;152190;OUROFINO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.74;1.00;5.815000;64.07;60.18;0.00
20.258.278/0001-70;2025-12-31;2;152190;OUROFINO S.A.;2024-01-01;2024-12-31;Conselho de Administração;6.04;0.00;0.000000;0.00;0.00;0.00
20.258.278/0001-70;2025-12-31;2;152190;OUROFINO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;1.00;5.815000;62.83;0.00;0.00
20.258.278/0001-70;2025-12-31;2;152190;OUROFINO S.A.;2025-01-01;2025-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
20.258.278/0001-70;2025-12-31;2;152190;OUROFINO S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;3.00;1.00;5.815000;62.83;0.00;0.00
20.512.706/0001-40;2025-12-31;10;154224;VITRU EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho de Administração;11.00;0.00;0.000000;0.00;0.00;0.00
20.512.706/0001-40;2025-12-31;10;154224;VITRU EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;2.50;1.100000;77.42;0.00;74.62
20.512.706/0001-40;2025-12-31;10;154224;VITRU EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.17;0.00;0.000000;0.00;0.00;0.00
20.512.706/0001-40;2025-12-31;10;154224;VITRU EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;3.00;1.400000;77.99;0.00;57.71
20.512.706/0001-40;2025-12-31;10;154224;VITRU EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
20.512.706/0001-40;2025-12-31;10;154224;VITRU EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;2.00;0.900000;63.61;0.00;74.82
20.512.706/0001-40;2025-12-31;10;154224;VITRU EDUCAÇÃO S.A.;2025-01-01;2025-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
20.512.706/0001-40;2025-12-31;10;154224;VITRU EDUCAÇÃO S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;4.00;0.900000;15.90;0.00;0.00
21.110.778/0001-23;2025-12-31;2;154631;OLIVEIRA TRUST S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
21.110.778/0001-23;2025-12-31;2;154631;OLIVEIRA TRUST S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;0.00;0.000000;0.00;0.00;0.00
21.110.778/0001-23;2025-12-31;2;154631;OLIVEIRA TRUST S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
21.110.778/0001-23;2025-12-31;2;154631;OLIVEIRA TRUST S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.000000;3432950.00;0.00;343295.00
21.110.778/0001-23;2025-12-31;2;154631;OLIVEIRA TRUST S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
21.110.778/0001-23;2025-12-31;2;154631;OLIVEIRA TRUST S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0.000000;5958065.00;0.00;0.00
21.110.778/0001-23;2025-12-31;2;154631;OLIVEIRA TRUST S.A.;2025-01-01;2025-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
21.110.778/0001-23;2025-12-31;2;154631;OLIVEIRA TRUST S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;0.000000;7093065.00;0.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;9.00;9.00;43.000000;9.70;0.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;5.25;5.25;233.000000;9.83;75855.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;10.08;9.00;43.000000;737901.00;0.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;4.75;3.83;233.000000;3987217.00;0.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho Fiscal;0.25;0.25;0.000000;0.00;0.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Diretoria Estatutária;5.50;5.50;13.000000;9.75;0.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho de Administração;9.75;9.75;151.000000;9.78;0.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2025-01-01;2025-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2025-01-01;2025-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
21.240.146/0001-84;2025-12-31;13;154740;AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2025-01-01;2025-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
21.254.073/0001-80;2025-12-31;2;149695;COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
21.254.073/0001-80;2025-12-31;2;149695;COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES;2024-01-01;2024-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
21.254.073/0001-80;2025-12-31;2;149695;COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
21.254.073/0001-80;2025-12-31;2;149695;COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
21.314.559/0001-66;2025-12-31;7;154761;MOVIDA PARTICIPACOES SA;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
